File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\devel\ftoption.h,834,60,0,0,113,1,661,3752,16,82
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\devel\PaxHeaders.20920\ft2build.h,4,3,0,0,1,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\devel\PaxHeaders.20920\ftoption.h,4,3,0,0,1,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\freetype.h,4037,485,184,0,299,21,3253,15512,16,83
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\ft2build.h,43,4,0,0,9,1,30,143,29,139
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\ftadvanc.h,183,24,2,0,22,1,137,645,16,83
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\ftautoh.h,358,26,8,0,29,1,303,1529,16,84
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\ftbbox.h,103,15,1,0,23,1,65,307,25,126
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\ftbdf.h,210,37,13,0,27,1,146,542,16,86
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\ftbitmap.h,228,33,6,0,29,1,166,632,16,83
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\ftbzip2.h,103,15,1,0,16,1,72,320,16,73
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\ftcache.h,1058,120,51,0,90,1,848,3934,16,81
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\ftcffdrv.h,255,14,0,0,24,1,217,1210,16,84
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\ftcid.h,167,24,3,0,20,1,123,416,15,80
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\fterrdef.h,250,182,0,0,31,0,37,152,26,114
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\fterrors.h,199,49,3,0,43,3,107,523,79,410
